X,Y,Z,R,G,B
71.01703899470596,-718.964604805464,120.3885371823462,163,106,61
279.79916426824127,-782.956825186837,350.37076588814307,200,152,81
65.66294320111427,-713.0220918137071,120.19220775736792,201,153,88
204.6399502002679,-755.7224612433561,270.441240496904,171,116,67
201.30700692748172,-754.4412639403615,264.7164117184757,199,149,82
213.72465291859191,-758.5764526656628,275.51437385072046,203,152,82
81.43921429457896,-713.7536162236449,131.21050576550454,204,155,86
79.96748849401638,-715.751673516123,123.5994679904002,169,112,64
79.96748849401638,-715.751673516123,123.5994679904002,169,112,64
291.9175184772581,-781.4077649704831,351.18541097713677,202,154,84
149.44461401663375,-734.963290550284,197.78744869681788,174,121,68
149.44461401663375,-734.963290550284,197.78744869681788,174,121,68
16.381792016039583,-692.4468581184491,54.60049134895698,156,98,53
227.2291024759012,-759.9395995152654,274.1856809134432,201,152,82
213.4055216549197,-755.6259900259785,257.97739907622565,174,119,66
91.72840872001206,-716.2387514393504,128.23782124733424,204,155,85
218.74963633646115,-756.3722458500762,264.61937982909905,161,105,60
15.719895853591822,-692.5330160295593,44.75918941324235,203,157,87
311.35649865656274,-786.2352394056794,361.4677195511689,189,135,75
219.23875856757337,-755.9696375132321,260.9732959678571,206,160,88
175.38372445084195,-743.1645267345757,209.8895270493389,205,155,85
208.66353278056022,-751.962013143193,248.10405140253494,201,151,85
322.85106869400556,-788.7170932497755,365.83132974202965,190,137,78
101.35054534839469,-717.2233975750846,130.46934367577208,201,155,88
305.7596800028093,-781.1343688637892,350.68790338679344,202,153,82
92.84460785510936,-713.9392350692306,121.16901251361423,166,111,64
20.659864129476034,-691.5685008834109,42.372496413349126,173,120,69
90.65135186777718,-713.0411629427464,117.25871002486272,199,150,83
26.656432790624024,-692.2107086912486,49.64494214912693,163,112,68
30.132311957957256,-691.586443881356,53.0871113397707,165,112,67
26.895073416192076,-692.1928272432224,44.63652448449298,214,170,92
166.4941783426982,-734.3604508379483,197.64593812303164,182,132,76
166.5208514270103,-736.4020377777077,192.75151417692203,211,164,90
19.990150766135855,-688.3314677124948,35.3450270168143,170,118,71
112.53522254172253,-719.3577147237565,129.1975441112169,198,147,84
94.08167546098889,-710.5518584065248,112.99139314454706,198,148,84
217.48994928379057,-749.7962970033798,242.51219064703648,207,160,89
41.88411179577844,-693.0286979730198,57.17990880448076,209,160,88
99.32811540191261,-712.5330656850919,113.16260659578259,151,95,56
205.5708699072636,-743.8682784260561,228.61959265052909,199,150,85
238.42680447140492,-756.8558748500407,255.93180343823838,195,142,78
322.62872084842695,-781.8938312034068,347.559204655268,208,159,84
246.41171734010027,-758.8629050305151,264.38672648836035,203,156,86
