X,Y,Z,R,G,B
-309.9350379054953,-130.70853605673017,565.4257672655434,118,101,120
18.12404893347443,26.45678189183167,516.8406882815408,0,0,0
36.71651175287093,22.96647322395422,521.4786058524386,143,92,105
62.57830011701299,68.65004406314752,366.45377851891874,68,33,36
-58.97383237507078,149.94410403603555,477.02551326546063,116,78,99
103.67468612661823,120.07383982908584,410.9538911292644,98,65,82
269.0746236100762,-207.1345703902621,573.9759337414475,116,95,114
-533.2580937003567,-349.55244481811326,470.12733405506174,119,140,198
60.580031762464124,-272.7978547376434,584.3906290580998,127,115,136
-35.49546042707579,-199.7067284235464,509.5617006814583,36,17,23
78.84308205191914,-170.06554416496382,535.2694584769822,97,65,80
16.51493947612485,-182.26688508957207,522.2511346392105,111,69,76
82.13907089892743,-3.0557604747539697,564.1510741957154,113,66,72
-20.37887081980185,-199.9882812074457,510.5872097205146,42,22,26
315.6837270820936,123.2496855089086,572.2204913169604,131,123,146
332.17636556141264,-200.33111348028334,631.1789522298488,23,22,27
335.19839465633714,51.378873993441665,634.5821079076102,136,158,197
-77.33651007438431,95.97396041202204,502.5990086518566,73,41,42
-48.9282787334752,77.99732903447844,367.5829974373293,101,65,75
-360.3455743720127,-47.457559517402345,562.6152947637414,113,95,114
-215.61046013317497,24.112380762706202,527.497972662581,72,59,77
30.91308122409277,-198.19956598864923,493.3282512569101,62,32,37
314.8503198933198,-24.697356551402972,585.044324524092,110,95,118
136.69589789828598,27.52300841239813,536.6319981281348,141,88,104
-93.825202098907,-109.62911644565925,499.6632340670267,103,82,99
-326.6608903895594,-177.91886929875477,565.6249852909991,137,108,123
311.33258485002904,-33.91462837207621,566.8034432132334,70,57,69
301.0614376251402,135.65245818124617,545.9528161416931,15,16,68
311.1078136672901,-1.07860517300321,564.9244331305431,129,111,126
229.56242815430264,6.75517019672382,564.7362484776238,90,63,75
-281.0123055091438,-106.15975879563888,565.1456875859514,123,100,121
264.3611759368069,-205.39634392786908,575.1218260734124,42,31,54
194.44013604641034,-129.76664405233464,571.306426399312,117,101,119
249.80400773006045,-4.069128842168411,563.6129860357183,112,91,108
-276.43347465994805,-79.16699990647861,564.3459929666565,126,107,130
-254.04632171291448,-248.79963441035326,573.4974877344492,131,108,124
134.73798655580563,-123.51089906704864,571.5030968293603,131,118,139
157.39855463669727,-249.03215789382295,576.9927442471611,135,115,138
307.7553269728423,-225.65452017226514,575.4837576661325,143,123,142
274.95367076610444,-189.24738933801228,573.8209974217716,127,114,133
222.2085502421684,25.487053710804,563.9380328000009,115,103,125
-153.73324117247384,45.154248450087096,499.7612994679964,36,28,31
243.37289608156408,35.98269216497886,563.5824517342203,135,113,130
32.05438593776313,-39.46735056806774,528.7235361585625,53,23,32
174.36804026514935,-255.58759239120295,576.2306344498585,76,66,75
250.09746596613223,8.40814344457483,564.1663197550545,142,121,134
299.5276075300894,3.27984688689559,565.0822744924867,137,118,134
